relation,encoding
concept:acquired,0
concept:acquiredby,1
concept:agentactsinlocation,2
concept:agentcollaborateswithagent,3
concept:agentcompeteswithagent,4
concept:agentcontrols,5
concept:agentcreated,6
concept:agentinvolvedwithitem,7
concept:agentparticipatedinevent,8
concept:agentworkedondrug,9
concept:atdate,10
concept:atlocation,11
concept:citylocatedinstate,12
concept:companyalsoknownas,13
concept:companyceo,14
concept:companycompetingwithproduuctlaunch,15
concept:companyeconomicsector,16
concept:companyhasshareholder,17
concept:companyofproductlaunch,18
concept:companyproducesvideogamesystem,19
concept:competeswith,20
concept:controlledbyagent,21
concept:createdbyagent,22
concept:economicsectorcompany,23
concept:geopoliticallocationcontainscity,24
concept:geopoliticallocationcontainsstate,25
concept:hasofficeincity,26
concept:hasofficeincountry,27
concept:headquarteredin,28
concept:inverseofstadiumoreventvenuedisclosescompany,29
concept:latitudelongitude,30
concept:locatedat,31
concept:locationactedinbyagent,32
concept:locationcontainslocation,33
concept:locationlocatedwithinlocation,34
concept:mountaininstate,35
concept:mutualproxyfor,36
concept:organizationacronymhasname,37
concept:organizationalsoknownas,38
concept:organizationhasagent,39
concept:organizationhasperson,40
concept:organizationhastopmember,41
concept:organizationheadquarteredincity,42
concept:organizationheadquarteredincountry,43
concept:organizationheadquarteredinstateorprovince,44
concept:organizationhiredperson,45
concept:organizationleadbyperson,46
concept:organizationnamehasacronym,47
concept:organizationterminatedperson,48
concept:producesproduct,49
concept:proxyfor,50
concept:proxyof,51
concept:subpartof,52
concept:subpartoforganization,53
concept:superpartof,54
concept:superpartoforganization,55
concept:synonymfor,56
concept:transportationincity,57
concept:worker,58
generalizations,59
