entity,relation,best-entity-query,best-concept-query,query
concept:biotechcompany:aspect_medical_systems,generalizations,Aspect Medical Systems,,Aspect Medical Systems 
concept:company:limited_brands,concept:companyceo,limited brands,Leslie-Wexner,limited brands Leslie-Wexner
concept:company:limited_brands,generalizations,limited brands,,limited brands 
concept:company:limited_brands,generalizations,limited brands,,limited brands 
concept:biotechcompany:calavo_growers,generalizations,Calavo Growers,,Calavo Growers 
concept:biotechcompany:playboy_enterprises_inc,generalizations,PLAYBOY ENTERPRISES INC,,PLAYBOY ENTERPRISES INC 
concept:biotechcompany:b_c_s_b_bancorp_inc,generalizations,B C S B BANCORP INC,,B C S B BANCORP INC 
concept:biotechcompany:boeing_integrated_defense_systems,generalizations,Boeing Integrated Defense Systems,,Boeing Integrated Defense Systems 
concept:company:mahindra___mahindra_ltd_,generalizations,Mahindra & Mahindra Ltd.,,Mahindra & Mahindra Ltd. 
concept:biotechcompany:marsam_pharmaceuticals,generalizations,Marsam Pharmaceuticals,,Marsam Pharmaceuticals 
concept:biotechcompany:sifco_industries_inc,generalizations,SIFCO Industries Inc,,SIFCO Industries Inc 
concept:biotechcompany:medecins_sans_frontieres,concept:organizationalsoknownas,Medecins Sans Frontieres,Doctors without Borders,Medecins Sans Frontieres Doctors without Borders
concept:biotechcompany:acceleron,generalizations,acceleron,,acceleron 
concept:biotechcompany:midwestone_financial_group_inc,generalizations,midwestone financial group inc,,midwestone financial group inc 
concept:company:verifone,generalizations,verifone,,verifone 
concept:biotechcompany:anntaylor_stores_corp,generalizations,ANNTAYLOR STORES CORP,,ANNTAYLOR STORES CORP 
concept:biotechcompany:magma_design_automation_inc,generalizations,Magma Design Automation Inc,,Magma Design Automation Inc 
concept:biotechcompany:u_s__concrete,generalizations,U.S. Concrete,,U.S. Concrete 
concept:biotechcompany:abgenix,generalizations,ABGENIX,,ABGENIX 
concept:biotechcompany:nupathe,generalizations,NuPathe,,NuPathe 
concept:biotechcompany:united_retail_group_inc,generalizations,United Retail Group Inc,,United Retail Group Inc 
concept:biotechcompany:universal_security_instruments_inc,generalizations,UNIVERSAL SECURITY INSTRUMENTS INC,,UNIVERSAL SECURITY INSTRUMENTS INC 
concept:biotechcompany:eisai_inc,generalizations,eisai inc,,eisai inc 
concept:biotechcompany:eresearch_technology,generalizations,eResearch Technology,,eResearch Technology 
concept:biotechcompany:n3_6_teva_and_ratiopharm,generalizations,3.6 teva and ratiopharm,,3.6 teva and ratiopharm 
concept:biotechcompany:american_church_mortgage_co,generalizations,american church mortgage co,,american church mortgage co 
concept:biotechcompany:transduction_laboratories,generalizations,Transduction Laboratories,,Transduction Laboratories 
concept:biotechcompany:china_finance_online_co__ltd,generalizations,china finance online co. ltd,,china finance online co. ltd 
concept:biotechcompany:sherman_pharmaceuticals,generalizations,Sherman Pharmaceuticals,,Sherman Pharmaceuticals 
concept:biotechcompany:coldwater_creek_inc,generalizations,COLDWATER CREEK INC,,COLDWATER CREEK INC 
concept:biotechcompany:coldwater_creek_inc,generalizations,COLDWATER CREEK INC,,COLDWATER CREEK INC 
concept:biotechcompany:investors_title_co,generalizations,investors title co,,investors title co 
concept:biotechcompany:orckit_communications_ltd,generalizations,orckit communications ltd,,orckit communications ltd 
concept:biotechcompany:intuit,concept:acquired,intuit,mint,intuit mint
concept:biotechcompany:intuit,concept:agentcollaborateswithagent,intuit,scott cook,intuit scott cook
concept:biotechcompany:intuit,concept:agentcollaborateswithagent,intuit,stephen bennett,intuit stephen bennett
concept:biotechcompany:intuit,concept:agentcollaborateswithagent,intuit,brad smith,intuit brad smith
concept:biotechcompany:intuit,concept:agentcollaborateswithagent,intuit,Bill Campbell,intuit Bill Campbell
concept:biotechcompany:intuit,concept:agentcontrols,intuit,scott cook,intuit scott cook
concept:biotechcompany:intuit,concept:agentcontrols,intuit,stephen bennett,intuit stephen bennett
concept:biotechcompany:intuit,concept:companyceo,intuit,stephen bennett,intuit stephen bennett
concept:biotechcompany:intuit,concept:controlledbyagent,intuit,scott cook,intuit scott cook
concept:biotechcompany:intuit,concept:mutualproxyfor,intuit,scott cook,intuit scott cook
concept:biotechcompany:intuit,concept:mutualproxyfor,intuit,stephen bennett,intuit stephen bennett
concept:biotechcompany:intuit,concept:organizationhasagent,intuit,brad smith,intuit brad smith
concept:biotechcompany:intuit,concept:organizationhasagent,intuit,stephen bennett,intuit stephen bennett
concept:biotechcompany:intuit,concept:organizationhasagent,intuit,scott cook,intuit scott cook
concept:biotechcompany:intuit,concept:organizationhasperson,intuit,brad smith,intuit brad smith
concept:biotechcompany:intuit,concept:organizationhasperson,intuit,stephen bennett,intuit stephen bennett
concept:biotechcompany:intuit,concept:organizationhasperson,intuit,scott cook,intuit scott cook
concept:biotechcompany:intuit,concept:organizationhastopmember,intuit,scott cook,intuit scott cook
concept:biotechcompany:intuit,concept:organizationhastopmember,intuit,brad smith,intuit brad smith
concept:biotechcompany:intuit,concept:organizationhiredperson,intuit,scott cook,intuit scott cook
concept:biotechcompany:intuit,concept:organizationleadbyperson,intuit,brad smith,intuit brad smith
concept:biotechcompany:intuit,concept:organizationleadbyperson,intuit,stephen bennett,intuit stephen bennett
concept:biotechcompany:intuit,concept:organizationleadbyperson,intuit,scott cook,intuit scott cook
concept:biotechcompany:intuit,concept:organizationterminatedperson,intuit,scott cook,intuit scott cook
concept:biotechcompany:intuit,concept:organizationterminatedperson,intuit,stephen bennett,intuit stephen bennett
concept:biotechcompany:intuit,concept:proxyof,intuit,scott cook,intuit scott cook
concept:biotechcompany:intuit,concept:subpartof,intuit,scott cook,intuit scott cook
concept:biotechcompany:intuit,concept:synonymfor,intuit,quickbooks,intuit quickbooks
concept:biotechcompany:intuit,concept:worker,intuit,brad smith,intuit brad smith
concept:biotechcompany:intuit,concept:worker,intuit,stephen bennett,intuit stephen bennett
concept:biotechcompany:intuit,concept:worker,intuit,scott cook,intuit scott cook
