entity,concept,relation
concept:biotechcompany:aspect_medical_systems,concept:biotechcompany,generalizations
concept:company:limited_brands,concept:ceo:leslie_wexner,concept:companyceo
concept:company:limited_brands,concept:retailstore,generalizations
concept:company:limited_brands,concept:company,generalizations
concept:biotechcompany:calavo_growers,concept:biotechcompany,generalizations
concept:biotechcompany:playboy_enterprises_inc,concept:biotechcompany,generalizations
concept:biotechcompany:b_c_s_b_bancorp_inc,concept:biotechcompany,generalizations
concept:biotechcompany:boeing_integrated_defense_systems,concept:biotechcompany,generalizations
concept:company:mahindra___mahindra_ltd_,concept:company,generalizations
concept:biotechcompany:marsam_pharmaceuticals,concept:biotechcompany,generalizations
concept:biotechcompany:sifco_industries_inc,concept:biotechcompany,generalizations
concept:biotechcompany:medecins_sans_frontieres,concept:nonprofitorganization:doctors_without_borders,concept:organizationalsoknownas
concept:biotechcompany:acceleron,concept:biotechcompany,generalizations
concept:biotechcompany:midwestone_financial_group_inc,concept:biotechcompany,generalizations
concept:company:verifone,concept:company,generalizations
concept:biotechcompany:anntaylor_stores_corp,concept:biotechcompany,generalizations
concept:biotechcompany:magma_design_automation_inc,concept:biotechcompany,generalizations
concept:biotechcompany:u_s__concrete,concept:biotechcompany,generalizations
concept:biotechcompany:abgenix,concept:biotechcompany,generalizations
concept:biotechcompany:nupathe,concept:biotechcompany,generalizations
concept:biotechcompany:united_retail_group_inc,concept:biotechcompany,generalizations
concept:biotechcompany:universal_security_instruments_inc,concept:biotechcompany,generalizations
concept:biotechcompany:eisai_inc,concept:biotechcompany,generalizations
concept:biotechcompany:eresearch_technology,concept:biotechcompany,generalizations
concept:biotechcompany:n3_6_teva_and_ratiopharm,concept:biotechcompany,generalizations
concept:biotechcompany:american_church_mortgage_co,concept:biotechcompany,generalizations
concept:biotechcompany:transduction_laboratories,concept:biotechcompany,generalizations
concept:biotechcompany:china_finance_online_co__ltd,concept:biotechcompany,generalizations
concept:biotechcompany:sherman_pharmaceuticals,concept:biotechcompany,generalizations
concept:biotechcompany:coldwater_creek_inc,concept:biotechcompany,generalizations
concept:biotechcompany:coldwater_creek_inc,concept:retailstore,generalizations
concept:biotechcompany:investors_title_co,concept:biotechcompany,generalizations
concept:biotechcompany:orckit_communications_ltd,concept:biotechcompany,generalizations
concept:biotechcompany:intuit,concept:company:mint,concept:acquired
concept:biotechcompany:intuit,concept:ceo:scott_cook,concept:agentcollaborateswithagent
concept:biotechcompany:intuit,concept:ceo:stephen_bennett,concept:agentcollaborateswithagent
concept:biotechcompany:intuit,concept:ceo:brad_smith,concept:agentcollaborateswithagent
concept:biotechcompany:intuit,concept:celebrity:bill_campbell,concept:agentcollaborateswithagent
concept:biotechcompany:intuit,concept:ceo:scott_cook,concept:agentcontrols
concept:biotechcompany:intuit,concept:ceo:stephen_bennett,concept:agentcontrols
concept:biotechcompany:intuit,concept:ceo:stephen_bennett,concept:companyceo
concept:biotechcompany:intuit,concept:ceo:scott_cook,concept:controlledbyagent
concept:biotechcompany:intuit,concept:ceo:scott_cook,concept:mutualproxyfor
concept:biotechcompany:intuit,concept:ceo:stephen_bennett,concept:mutualproxyfor
concept:biotechcompany:intuit,concept:ceo:brad_smith,concept:organizationhasagent
concept:biotechcompany:intuit,concept:ceo:stephen_bennett,concept:organizationhasagent
concept:biotechcompany:intuit,concept:ceo:scott_cook,concept:organizationhasagent
concept:biotechcompany:intuit,concept:ceo:brad_smith,concept:organizationhasperson
concept:biotechcompany:intuit,concept:ceo:stephen_bennett,concept:organizationhasperson
concept:biotechcompany:intuit,concept:ceo:scott_cook,concept:organizationhasperson
concept:biotechcompany:intuit,concept:ceo:scott_cook,concept:organizationhastopmember
concept:biotechcompany:intuit,concept:ceo:brad_smith,concept:organizationhastopmember
concept:biotechcompany:intuit,concept:ceo:scott_cook,concept:organizationhiredperson
concept:biotechcompany:intuit,concept:ceo:brad_smith,concept:organizationleadbyperson
concept:biotechcompany:intuit,concept:ceo:stephen_bennett,concept:organizationleadbyperson
concept:biotechcompany:intuit,concept:ceo:scott_cook,concept:organizationleadbyperson
concept:biotechcompany:intuit,concept:ceo:scott_cook,concept:organizationterminatedperson
concept:biotechcompany:intuit,concept:ceo:stephen_bennett,concept:organizationterminatedperson
concept:biotechcompany:intuit,concept:ceo:scott_cook,concept:proxyof
concept:biotechcompany:intuit,concept:ceo:scott_cook,concept:subpartof
concept:biotechcompany:intuit,concept:product:quickbooks,concept:synonymfor
concept:biotechcompany:intuit,concept:ceo:brad_smith,concept:worker
concept:biotechcompany:intuit,concept:ceo:stephen_bennett,concept:worker
concept:biotechcompany:intuit,concept:ceo:scott_cook,concept:worker
concept:biotechcompany:intuit,concept:biotechcompany,generalizations
concept:biotechcompany:intuit,concept:company,generalizations
concept:biotechcompany:aphton_corp,concept:biotechcompany,generalizations
concept:biotechcompany:powershares_dynamic_small_cap_value_portfolio,concept:biotechcompany,generalizations
concept:biotechcompany:lightbridge_inc_,concept:company:lightbridge,concept:companyalsoknownas
concept:biotechcompany:premier_community_bankshares_inc,concept:biotechcompany,generalizations
concept:biotechcompany:manhattan_pharmaceuticals,concept:biotechcompany,generalizations
concept:biotechcompany:mandalay_resort_group,concept:biotechcompany,generalizations
concept:biotechcompany:immulogic_pharmaceutical_corp,concept:biotechcompany,generalizations
concept:biotechcompany:caredecision_corp,concept:biotechcompany,generalizations
concept:company:american_family_insurance,concept:economicsector:insurance,concept:companyeconomicsector
concept:company:american_family_insurance,concept:company,generalizations
concept:biotechcompany:virginia_commerce_bancorp_inc,concept:biotechcompany,generalizations
concept:biotechcompany:labarge_inc,concept:biotechcompany,generalizations
concept:biotechcompany:fauquier_bankshares_inc,concept:biotechcompany,generalizations
concept:biotechcompany:mastercard_international,concept:bank:mastercard,concept:companyalsoknownas
concept:biotechcompany:mastercard_international,concept:bank:mastercard,concept:synonymfor
concept:biotechcompany:comtech_telecommunications_corp,concept:biotechcompany,generalizations
concept:biotechcompany:stemcells_inc,concept:biotechcompany,generalizations
concept:biotechcompany:olympic_steel_inc,concept:biotechcompany,generalizations
concept:biotechcompany:drug_company_merck,concept:biotechcompany,generalizations
concept:biotechcompany:ventas__vtr,concept:biotechcompany,generalizations
concept:biotechcompany:cavalier_homes_inc,concept:biotechcompany,generalizations
concept:biotechcompany:douglas_emmett,concept:biotechcompany,generalizations
concept:museum:coventry_transport_museum,concept:museum,generalizations
concept:biotechcompany:skyline_corp,concept:biotechcompany,generalizations
concept:biotechcompany:raven_inds_inc,concept:biotechcompany,generalizations
concept:biotechcompany:tya_pharmaceuticals,concept:biotechcompany,generalizations
concept:biotechcompany:amaru_inc,concept:biotechcompany,generalizations
concept:biotechcompany:ruddick_corp,concept:biotechcompany,generalizations
concept:company:lionbridge_technologies,concept:company,generalizations
concept:biotechcompany:bosnalijek_pharmaceuticals,concept:biotechcompany,generalizations
concept:biotechcompany:barnwell_industries_inc,concept:biotechcompany,generalizations
concept:biotechcompany:frisch_s_restaurants_inc,concept:biotechcompany,generalizations
concept:biotechcompany:smc_recordings_inc,concept:biotechcompany,generalizations
concept:biotechcompany:archer_daniels_midland_co,concept:biotechcompany,generalizations
concept:biotechcompany:bsd_medical_corporation,concept:biotechcompany,generalizations
concept:biotechcompany:pennsylvania_commerce_bancorp_inc,concept:biotechcompany,generalizations
concept:biotechcompany:carrizo_oil___gas,concept:biotechcompany,generalizations
concept:biotechcompany:acura_pharmaceuticals,concept:biotechcompany,generalizations
concept:biotechcompany:mindpix_corp,concept:biotechcompany,generalizations
concept:biotechcompany:belden_inc_,concept:biotechcompany,generalizations
concept:biotechcompany:qlik_technologies_inc,concept:biotechcompany,generalizations
concept:biotechcompany:reed_financial,concept:biotechcompany,generalizations
concept:biotechcompany:sutron_corp,concept:biotechcompany,generalizations
concept:biotechcompany:capital_bancorp_inc,concept:biotechcompany,generalizations
concept:biotechcompany:hillenbrand_inc,concept:biotechcompany,generalizations
concept:biotechcompany:neogen_corporation,concept:biotechcompany,generalizations
concept:biotechcompany:big_5_sporting_goods_corp,concept:biotechcompany,generalizations
concept:biotechcompany:pressure_biosciences_inc,concept:biotechcompany,generalizations
concept:company:noranda_inc_,concept:company,generalizations
concept:biotechcompany:con_way_inc_,concept:biotechcompany,generalizations
concept:biotechcompany:parexel_international,concept:biotechcompany,generalizations
concept:biotechcompany:scotsman_industries_inc,concept:biotechcompany,generalizations
concept:biotechcompany:encysive_pharmaceuticals_inc,concept:biotechcompany,generalizations
concept:biotechcompany:extra_space_storage_inc,concept:biotechcompany,generalizations
concept:biotechcompany:advanced_health_corp,concept:biotechcompany,generalizations
concept:biotechcompany:cost_plus_inc,concept:biotechcompany,generalizations
concept:biotechcompany:cost_plus_inc,concept:retailstore,generalizations
concept:biotechcompany:bone_care_international,concept:biotechcompany,generalizations
concept:biotechcompany:sagemark_companies_ltd,concept:biotechcompany,generalizations
concept:biotechcompany:nokia_corp,concept:biotechcompany,generalizations
concept:biotechcompany:nokia_corp,concept:company,generalizations
